dataset,CL,zs_mse,fs5_mse
etth1,512,0.394,0.383
etth2,512,0.345,0.324
ettm1,512,0.386,0.376
ettm2,512,0.281,0.272
weather,512,0.237,0.234
electricity,512,0.205,0.183
traffic,512,0.564,0.434
etth1,1024,0.404,0.385
etth2,1024,0.335,0.318
ettm1,1024,0.38,0.379
ettm2,1024,0.271,0.269
weather,1024,0.238,0.24
electricity,1024,0.194,0.201
traffic,1024,0.514,0.436
etth1,1536,0.4,0.386
etth2,1536,0.333,0.315
ettm1,1536,0.362,0.361
ettm2,1536,0.252,0.252
weather,1536,0.231,0.228
electricity,1536,0.192,0.18
traffic,1536,0.502,0.49
