dataset,CL,FL,zs_mse,fs5_mse
etth1,512,96,0.364,0.364
etth1,512,192,0.386,0.387
etth1,512,336,0.404,0.398
etth1,512,720,0.424,
etth2,512,96,0.277,0.277
etth2,512,192,0.334,0.334
etth2,512,336,0.362,0.361
etth2,512,720,0.408,
ettm1,512,96,0.322,0.311
ettm1,512,192,0.376,0.359
ettm1,512,336,0.407,0.396
ettm1,512,720,0.439,0.437
ettm2,512,96,0.171,0.171
ettm2,512,192,0.238,0.231
ettm2,512,336,0.304,0.293
ettm2,512,720,0.41,0.394
weather,512,96,0.158,0.153
weather,512,192,0.206,0.204
weather,512,336,0.256,0.252
weather,512,720,0.328,0.327
electricity,512,96,0.166,0.146
electricity,512,192,0.191,0.164
electricity,512,336,0.207,0.185
electricity,512,720,0.255,0.238
traffic,512,96,0.514,0.418
traffic,512,192,0.544,0.425
traffic,512,336,0.575,0.458
traffic,512,720,0.622,
etth1,1024,96,0.363,0.363
etth1,1024,192,0.393,0.393
etth1,1024,336,0.406,0.4
etth1,1024,720,0.452,
etth2,1024,96,0.271,0.271
etth2,1024,192,0.324,0.325
etth2,1024,336,0.357,0.357
etth2,1024,720,0.388,
ettm1,1024,96,0.327,0.328
ettm1,1024,192,0.377,0.372
ettm1,1024,336,0.395,0.4
ettm1,1024,720,0.419,0.417
ettm2,1024,96,0.178,0.178
ettm2,1024,192,0.238,0.237
ettm2,1024,336,0.29,0.286
ettm2,1024,720,0.379,0.375
weather,1024,96,0.166,0.165
weather,1024,192,0.214,0.213
weather,1024,336,0.254,0.262
weather,1024,720,0.319,0.32
electricity,1024,96,0.157,0.148
electricity,1024,192,0.174,0.168
electricity,1024,336,0.195,0.2
electricity,1024,720,0.25,0.289
traffic,1024,96,0.476,0.414
traffic,1024,192,0.5,0.438
traffic,1024,336,0.51,0.456
traffic,1024,720,0.571,
etth1,1536,96,0.359,0.359
etth1,1536,192,0.389,0.393
etth1,1536,336,0.405,0.406
etth1,1536,720,0.448,
etth2,1536,96,0.264,0.269
etth2,1536,192,0.321,0.321
etth2,1536,336,0.351,0.355
etth2,1536,720,0.395,
ettm1,1536,96,0.318,0.317
ettm1,1536,192,0.354,0.355
ettm1,1536,336,0.376,0.375
ettm1,1536,720,0.398,0.398
ettm2,1536,96,0.169,0.169
ettm2,1536,192,0.223,0.222
ettm2,1536,336,0.276,0.274
ettm2,1536,720,0.342,0.341
weather,1536,96,0.159,0.155
weather,1536,192,0.203,0.201
weather,1536,336,0.247,0.243
weather,1536,720,0.314,0.315
electricity,1536,96,0.152,0.14
electricity,1536,192,0.179,0.159
electricity,1536,336,0.193,0.179
electricity,1536,720,0.243,0.241
traffic,1536,96,0.462,0.469
traffic,1536,192,0.491,0.491
traffic,1536,336,0.509,0.509
traffic,1536,720,0.547,
