Dataset,Accuracy
ArticularyWordRecognition,0.98
AtrialFibrillation,0.4666666666666667
BasicMotions,1.0
CharacterTrajectories,0.9763231197771588
Cricket,0.9583333333333334
DuckDuckGeese,0.72
Epilepsy,0.9565217391304348
ERing,0.937037037037037
EthanolConcentration,0.2509505703422053
FaceDetection,0.6753688989784336
FingerMovements,0.53
HandMovementDirection,0.6216216216216216
Handwriting,0.22
Heartbeat,0.7024390243902439
InsectWingbeat,0.72348
JapaneseVowels,0.9783783783783784
Libras,0.7888888888888889
LSST,0.5178426601784266
MotorImagery,0.58
NATOPS,0.85
PEMS-SF,0.8554913294797688
PenDigits,0.9602630074328188
PhonemeSpectra,0.15597971965404114
RacketSports,0.875
SelfRegulationSCP1,0.8668941979522184
SelfRegulationSCP2,0.5111111111111111
SpokenArabicDigits,0.977262391996362
StandWalkJump,0.8
UWaveGestureLibrary,0.884375
