Dataset,Mask Type,Mask Ratio,MSE
ETTh1,block,0.125,0.209
ETTh1,block,0.25,0.225
ETTh1,block,0.375,0.246
ETTh1,block,0.5,0.272
ETTh2,block,0.125,0.081
ETTh2,block,0.25,0.088
ETTh2,block,0.375,0.098
ETTh2,block,0.5,0.113
ETTm1,block,0.125,0.068
ETTm1,block,0.25,0.081
ETTm1,block,0.375,0.100
ETTm1,block,0.5,0.128
ETTm2,block,0.125,0.046
ETTm2,block,0.25,0.050
ETTm2,block,0.375,0.056
ETTm2,block,0.5,0.065
weather,block,0.125,0.048
weather,block,0.25,0.053
weather,block,0.375,0.058
weather,block,0.5,0.066
electricity,block,0.125,0.084
electricity,block,0.25,0.090
electricity,block,0.375,0.100
electricity,block,0.5,0.115
ETTh1,hybrid,0.125,0.146
ETTh1,hybrid,0.25,0.155
ETTh1,hybrid,0.375,0.168
ETTh1,hybrid,0.5,0.183
ETTh2,hybrid,0.125,0.065
ETTh2,hybrid,0.25,0.068
ETTh2,hybrid,0.375,0.072
ETTh2,hybrid,0.5,0.077
ETTm1,hybrid,0.125,0.049
ETTm1,hybrid,0.25,0.053
ETTm1,hybrid,0.375,0.058
ETTm1,hybrid,0.5,0.066
ETTm2,hybrid,0.125,0.034
ETTm2,hybrid,0.25,0.036
ETTm2,hybrid,0.375,0.038
ETTm2,hybrid,0.5,0.041
weather,hybrid,0.125,0.036
weather,hybrid,0.25,0.038
weather,hybrid,0.375,0.040
weather,hybrid,0.5,0.042
electricity,hybrid,0.125,0.070
electricity,hybrid,0.25,0.074
electricity,hybrid,0.375,0.078
electricity,hybrid,0.5,0.085

